replicon_primary,n_PSC,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
rep24c,46,0.0000,0.0000,0.0898,0.4800,0.3000,0.6232,0.0000,0.0000,0.0000,0.0000
rep7c,46,0.0000,0.3300,0.0787,0.8200,0.3000,0.6472,0.3900,0.0000,0.0833,0.0701
IncFII(pCTU2)/pESA2,44,0.0000,0.0000,0.0700,0.7200,0.9000,0.6671,0.3700,0.0000,0.0000,0.0000
IncHI1B(R27),44,0.0000,0.0000,0.0761,0.7200,0.9000,0.6704,0.0000,0.0000,0.0000,0.0000
rep8b,44,0.0000,0.0000,0.0812,0.5200,0.3000,0.6559,0.0000,0.0000,0.0000,0.0701
IncFII(Y),44,0.0000,0.5100,0.1331,0.5200,0.9000,0.6062,0.0000,0.2277,0.0000,0.0000
rep5e,43,0.0000,0.0000,0.4200,0.5200,0.3000,0.5864,0.0000,0.0000,0.0000,0.0000
rep7a/repUS12,43,0.6913,0.0000,0.4200,0.5200,0.3000,0.5804,0.0000,0.0000,0.0000,0.0000
repUS70,41,0.0000,0.0000,0.4340,0.5200,0.3000,0.6370,0.2900,0.0000,0.0000,0.0000
repUS57,41,0.0000,0.0000,0.0700,0.8000,0.3000,0.5483,0.0000,0.0000,0.0833,0.1129
rep1/rep7a,41,0.6227,0.0000,0.0840,0.8000,0.3000,0.6232,0.0000,0.0000,0.0000,0.0000
rep19b/repUS70,41,0.0000,0.0000,0.4328,0.5200,0.3000,0.6341,0.4500,0.0000,0.0000,0.0000
Col(Ye4449),41,0.0000,0.0000,0.4200,0.7600,0.3000,0.5654,0.0000,0.0000,0.0000,0.0000
rep16/rep19/rep20,41,0.0000,0.0000,0.0983,0.8000,0.3000,0.6483,0.3700,0.2277,0.0833,0.1402
repUS18,40,0.6913,0.0000,0.4200,0.8000,0.3000,0.6010,0.0000,0.0000,0.0000,0.0000
rep5a,40,0.4362,0.0000,0.4422,0.8000,0.3000,0.6488,0.3700,0.0000,0.0000,0.0000
repUS2,39,0.0000,0.0000,0.0700,0.5200,0.3000,0.5256,0.0000,0.0000,0.0000,0.0000
IncFIB(K)/IncHI1B,39,0.0000,0.0000,0.1220,0.8000,0.9000,0.6544,0.0000,0.0000,0.1667,0.2240
IncFIB(pCTU3),39,0.0000,0.0000,0.0941,0.5200,0.9000,0.6232,0.2900,0.2277,0.0833,0.1402
rep24b,38,0.0000,0.0000,0.0743,0.8000,0.3000,0.6946,0.0000,0.0000,0.0000,0.0000
IncFII(pCTU2),38,0.0000,0.0000,0.0718,0.7600,0.9000,0.6727,0.3700,0.0000,0.0000,0.0000
repUS64,37,0.0000,0.0000,0.0700,0.4800,0.3000,0.5075,0.0000,0.0000,0.0000,0.0000
rep20/rep22,37,0.6913,0.0000,0.0875,0.8000,0.3000,0.6102,0.2900,0.0000,0.0000,0.0000
IncHI1A/IncHI1B(R27),37,0.0000,0.0000,0.0781,0.7600,0.9000,0.6533,0.0000,0.5286,0.3333,0.5020
IncFIA/IncFIC(FII),37,0.0000,0.0000,0.1092,0.7200,0.9000,0.6625,0.2900,0.0000,0.0000,0.0000
rep40,37,0.0000,0.0000,0.0836,0.5200,0.3000,0.6223,0.0000,0.0000,0.0000,0.0000
IncB/O/K/Z/IncFIB(AP001918),36,0.0000,0.1650,0.0964,0.7600,0.9000,0.6102,0.0000,0.1138,0.0000,0.0701
rep10b,36,0.0000,0.0000,0.0700,0.8000,0.3000,0.4928,0.0000,0.0000,0.0000,0.0000
IncFIB(AP001918)/IncFIC(FII),35,0.0000,0.0000,0.4295,0.7600,0.9000,0.6318,0.0000,0.4553,0.2500,0.3705
IncFII(pKPX1),35,0.0000,0.0000,0.0869,0.8000,0.9000,0.6033,0.0000,0.0000,0.0000,0.0000
repUS4,34,0.0000,0.0000,0.4200,0.4800,0.3000,0.5856,0.0000,0.2277,0.0833,0.0000
IncFII(K)/IncR,33,0.0000,0.0000,0.1018,0.8000,0.9000,0.6527,0.2900,0.0000,0.0833,0.1402
rep20/rep22/rep5a/rep7a/repUS22,33,0.4362,0.0000,0.4417,0.8000,0.3000,0.6934,0.4100,0.0000,0.0000,0.0000
rep21/repUS5,32,0.4362,0.0000,0.1141,0.8000,0.3000,0.6600,0.3300,0.2277,0.0833,0.2542
IncFIA(HI1)/IncR,32,0.0000,0.0000,0.1785,0.8000,0.9000,0.6270,0.2900,0.4081,0.2500,0.3510
IncW,32,0.6913,0.0000,0.7000,0.7600,0.9000,0.6595,0.3300,0.0000,0.0000,0.0701
Col(IRGK),32,0.0000,0.0000,0.0700,0.8000,0.3000,0.5152,0.0000,0.3608,0.1667,0.3315
IncFII(pAMA1167-NDM-5)/IncFII(pRSB107),31,0.0000,0.0000,0.0700,0.7600,0.9000,0.5819,0.0000,0.0000,0.0000,0.0000
rep33,31,0.0000,0.0000,0.4290,0.4800,0.3000,0.6084,0.2900,0.2277,0.0833,0.1402
IncI1/IncQ1,31,0.6913,0.0000,0.1504,0.7200,0.9000,0.6922,0.4400,0.0000,0.0000,0.0000
Col(MG828)/Col440I,30,0.0000,0.0000,0.2450,0.7600,0.5000,0.5576,0.0000,0.0000,0.0000,0.0000
repUS41,30,0.0000,0.0000,0.0700,0.4800,0.3000,0.5826,0.0000,0.0000,0.0000,0.0000
rep39/repUS70,29,0.0000,0.0000,0.4378,0.5200,0.3000,0.6568,0.4100,0.0000,0.0000,0.0000
rep34,29,0.0000,0.0000,0.0700,0.5200,0.3000,0.5332,0.0000,0.2277,0.0000,0.1402
Col440I/ColRNAI,29,0.0000,0.0000,0.4200,0.7600,0.9000,0.5614,0.0000,0.0000,0.0000,0.1402
IncFIA(HI1)/IncFIB(AP001918),28,0.0000,0.0000,0.1366,0.7600,0.9000,0.6281,0.2900,0.6138,0.3333,0.3747
Col156/Col8282,28,0.0000,0.0000,0.4200,0.7600,0.5000,0.5750,0.0000,0.0000,0.0417,0.2122
IncA/C,28,0.0000,0.0000,0.0755,0.8000,0.9000,0.6720,0.0000,0.0000,0.0417,0.1821
rep20/rep7a,28,0.4362,0.0000,0.4445,0.8000,0.3000,0.6453,0.3700,0.0000,0.0000,0.0701
